date,coast_mean,coast_daily,coast_max,coast_min,coast_std,coast_range,coast_load_factor,coast_peak_ratio,north_mean,north_daily,north_max,north_min,north_std,north_range,north_load_factor,north_peak_ratio,scent_mean,scent_daily,scent_max,scent_min,scent_std,scent_range,scent_load_factor,scent_peak_ratio,ercot_mean,ercot_daily,ercot_max,ercot_min,ercot_std,ercot_range,ercot_load_factor,ercot_peak_ratio
2021-01-01,11331.41125,271953.87,12011.27,10723.9,401.76235853194646,1287.3700000000008,0.9433982626316784,1.0599977121119843,885.1479166666667,21243.55,934.5,819.55,39.24957124985064,114.95000000000005,0.9471887818797932,1.0557557470385128,7181.081249999999,172345.94999999998,8021.64,6006.42,608.2217738500703,2015.2200000000003,0.8952136034526604,1.117051836727234,44501.53541666667,1.06803685e6,46318.02,42417.51,1352.3434199356677,3900.5099999999948,0.9607823351832975,1.0408184698870642
2021-01-02,11352.614166666668,272462.74000000005,12059.38,10694.92,468.078382203485,1364.4599999999991,0.9413928549118337,1.0622557785332407,797.3266666666667,19135.84,885.48,694.29,51.739430314561474,191.19000000000005,0.9004457092951469,1.1105611250930192,6639.761666666665,159354.27999999997,7801.92,5596.98,595.5250002686097,2204.9400000000005,0.8510420084628739,1.175030127838424,41532.76208333333,996786.2899999998,45845.89,36872.22,2487.4064018501354,8973.669999999998,0.9059211650888079,1.1038488099590535
2021-01-03,10817.481249999999,259619.54999999996,11502.6,10063.19,421.85837997986846,1439.4099999999999,0.940437922730513,1.063334406056863,776.3445833333334,18632.27,884.69,681.0,55.78616058542046,203.69000000000005,0.8775329022972266,1.139558411293954,6387.416666666665,153297.99999999997,7543.01,5499.93,598.1768533430246,2043.08,0.8467994430163376,1.180917167869118,39669.62249999999,952070.9399999998,44422.82,35455.94,2607.419793787904,8966.879999999997,0.8930009958845474,1.1198195798308899
2021-01-04,10897.277083333334,261534.65000000002,11685.25,9586.24,761.8532722905499,2099.01,0.932566875619549,1.072309156740799,781.8654166666666,18764.77,927.8,706.04,65.3430402121501,221.76,0.8427090069698929,1.1866492368411656,6230.735416666667,149537.65000000002,7630.92,5378.69,619.2263215741509,2252.2300000000005,0.8165116940901841,1.224722202067506,39646.34083333334,951512.1800000002,45385.08,35623.03,2821.401753995955,9762.050000000003,0.8735544992612846,1.1447482679622658
2021-01-05,10769.019166666667,258456.46000000002,11627.08,9253.94,833.2781251331168,2373.1399999999994,0.9262015197854205,1.0796786429714311,778.74625,18689.91,945.52,705.15,70.7132060609123,240.37,0.8236168986377866,1.2141567294866589,6028.551666666666,144685.24,7023.74,5079.55,604.2115195544677,1944.1899999999996,0.85831076700827,1.1650791746276261,39388.51666666667,945324.4,44873.3,34646.35,3059.569452178109,10226.950000000004,0.8777717855978202,1.1392482834464022
2021-01-06,10919.640416666667,262071.37,11844.1,9387.3,882.326090135955,2456.800000000001,0.9219476715551765,1.0846602587684415,808.6912499999999,19408.589999999997,897.64,667.17,80.57677663664744,230.47000000000003,0.9009082148745599,1.1099909885262147,5648.111666666667,135554.68,6477.38,4561.18,603.2939221269863,1916.1999999999998,0.8719747284653157,1.1468222270156958,38789.27291666666,930942.5499999999,43295.6,32364.34,3547.6543409958604,10931.259999999998,0.8959172044426377,1.1161745695263365
2021-01-07,11360.496249999998,272651.91,12242.81,9794.83,847.6286357259984,2447.9799999999996,0.9279320883032571,1.0776650711891218,843.3241666666668,20239.780000000002,932.22,749.29,56.06689458887999,182.93000000000006,0.9046407142806062,1.105411224825566,6376.06375,153025.53,7474.2,5308.24,654.4520698749351,2165.96,0.8530764162050789,1.1722279282417776,41715.20541666667,1.0011649300000002e6,45855.42,35945.71,3215.232900889924,9909.71,0.9097115546355626,1.0992495312435682
2021-01-08,11847.055416666664,284329.32999999996,12582.65,10521.13,715.1755936039592,2061.5200000000004,0.9415389776133537,1.0620909211160172,859.6491666666669,20631.580000000005,942.78,758.64,62.02899798142567,184.14,0.911823719920519,1.0967032093518767,7061.992916666667,169487.83000000002,8482.39,6174.22,691.4352033238334,2308.169999999999,0.8325475386850484,1.2011326122943458,43789.518749999996,1.05094845e6,48474.52,38622.81,3164.0357996000203,9851.71,0.9033512606210438,1.1069891011305075
2021-01-09,11701.935833333331,280846.45999999996,12779.92,10772.08,576.5030420366714,2007.8400000000001,0.9156501631726436,1.0921201570423926,867.4991666666665,20819.979999999996,1012.84,745.76,75.0492925504221,267.08000000000004,0.8565016850308701,1.167540026455357,7252.510416666665,174060.24999999997,8523.29,6510.46,576.1790129697328,2012.8300000000008,0.8509050397987942,1.1752192703388629,44474.98041666666,1.0673995299999998e6,50227.33,40130.48,2831.553388584465,10096.849999999999,0.8854737135473189,1.1293390020510878
2021-01-10,12756.679583333333,306160.31,14768.14,10577.9,1513.3796495936394,4190.24,0.8637973084852482,1.1576789950336803,898.0575,21553.38,986.83,788.02,69.54730528021292,198.81000000000006,0.9100427631912285,1.0988494611981972,8253.752916666666,198090.07,9918.61,6203.12,1362.7566035492948,3715.4900000000007,0.8321481454222583,1.201709101319415,47988.64666666666,1.1517275199999998e6,55471.74,39529.47,5732.300627696767,15942.269999999997,0.8651008002753593,1.1559346606565415
